source_id,publisher,title,scope,url,authority_level
SRC-001,MINTOUL,Cameroun en découverte,Official Cameroon tourism discovery portal,https://mintoul.gov.cm/cameroun-en-decouverte/,primary
SRC-002,MINTOUL,Documentation,"Official tourism laws, hotel cards, publications, forms and other documents",https://mintoul.gov.cm/documentation/,primary
SRC-003,MINTOUL,Infos pratiques,"Visa, airports, currency, customs, holidays, transport and other visitor information",https://mintoul.gov.cm/infos-pratiques/,primary
SRC-004,MINTOUL,Guides touristiques,Registered national/regional tourism guides,https://mintoul.gov.cm/statut-guide/guides-touristiques/,primary
SRC-005,MINTOUL,"Foires, Salon, Festivals","Official tourism fairs, salons and festival calendar page",https://mintoul.gov.cm/cameroun-en-decouverte/foires-salon-festivals/,primary
SRC-006,MINTOUL,Transport Interne,Official visitor transport guidance and indicative fares,https://mintoul.gov.cm/infos-pratiques/transport-interne/,primary
SRC-007,MINTOUL,Demande de visa,Official tourism-site visa guidance,https://mintoul.gov.cm/infos-pratiques/demande-de-visa/,primary
SRC-008,MINTOUL,Aéroports,Official airport information,https://mintoul.gov.cm/infos-pratiques/aeroports/,primary
SRC-009,MINTOUL,Tourisme balnéaire,Official coastal/beach tourism information,https://mintoul.gov.cm/tours/tourisme-balneaires/,primary
SRC-010,MINTOUL,Écotourisme,Official ecotourism information,https://mintoul.gov.cm/tours/ecotourisme/,primary
SRC-011,MINTOUL,Tourisme sportif,Official sports tourism information,https://mintoul.gov.cm/tourisme/sports-tourism/,primary
SRC-012,MINTOUL,Tourisme d'affaires et de Congrès,Official business/congress tourism information,https://mintoul.gov.cm/tourisme/tourisme-des-affaires/,primary
SRC-013,MINTOUL,Jardin botanique de Limbé,Official destination/site profile,https://mintoul.gov.cm/site/jardin-botanique-de-limbe/,primary
SRC-014,MINTOUL,Mont Cameroun,Official destination/site profile,https://mintoul.gov.cm/site/mont-cameroun/,primary
SRC-015,MINTOUL,Palais de justice de Douala,Official destination/site profile,https://mintoul.gov.cm/site/palais-de-justice-de-douala/,primary
SRC-016,MINTOUL,Hôtels recommandés CM14 2026,Official 2026 Yaoundé hotel list for WTO Ministerial Conference,https://mintoul.gov.cm/14ieme-conference-ministerielle-yde-mars/,primary
SRC-017,MINTOUL,Hôtels CAN 2021,Historical official hotel list for CAN 2021; not current availability,https://mintoul.gov.cm/can-2021-les-hotels-retenus-pour-la-competition/,historical
SRC-018,MINTOUL,Présentation du Cameroun,Official country/geography overview,https://mintoul.gov.cm/cameroun-en-decouverte/presentation-du-cameroun/,primary
SRC-019,MINTOUL,Première visite,Official first-visit information,https://mintoul.gov.cm/cameroun-en-decouverte/premiere-visite/,primary
SRC-020,MINTOUL,Histoire du Cameroun,Official tourism-site history overview,https://mintoul.gov.cm/cameroun-en-decouverte/histoire-du-cameroun/,primary
SRC-021,UNESCO,Cameroon World Heritage Convention,Inscribed and tentative World Heritage properties,https://whc.unesco.org/en/statesparties/cm,primary
SRC-022,UNESCO,Cameroon Tentative List,Current Cameroon tentative list,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,primary
