query_id,timestamp,session_id,visitor_id,channel,language,visitor_type,visitor_origin,query_type,site_referenced,region_referenced,sentiment,response_time_seconds,resolved,is_emergency
QRY-002750,2026-06-01 06:08,SESS-001085,VIS-01086,text,French,domestic,North,opening_hours,Artisanal Village & Flower Market,Littoral,positive,0.8,True,False
QRY-001521,2026-06-01 06:38,SESS-000608,VIS-00609,text,French,domestic,Centre,cultural_info,Mefou Primate Sanctuary,Centre,positive,5.3,True,False
QRY-000007,2026-06-01 06:42,SESS-000005,VIS-00006,text,French,domestic,Centre,directions,Down Beach & Batoke Beach,South West,neutral,2.7,True,False
QRY-005231,2026-06-01 07:32,SESS-002073,VIS-02074,text,English,domestic,East,transport_fare,Douala-Edea Wildlife Reserve,Littoral,positive,4.0,True,False
QRY-003929,2026-06-01 07:56,SESS-001560,VIS-01561,text,French,domestic,Littoral,booking_interest,Down Beach Roasted Fish Sheds,South West,positive,2.8,True,False
QRY-000681,2026-06-01 07:57,SESS-000276,VIS-00277,text,English,domestic,North West,pricing,Artisanal Village & Flower Market,Littoral,neutral,3.0,True,False
QRY-005176,2026-06-01 07:57,SESS-002052,VIS-02053,voice_note,French,domestic,Littoral,pricing,Artisanal Village & Flower Market,Littoral,neutral,4.3,True,False
QRY-002643,2026-06-01 08:04,SESS-001047,VIS-01048,text,French,foreign,China,directions,Marche Sandaga & Deido Soya,Littoral,neutral,3.9,True,False
QRY-003291,2026-06-01 09:07,SESS-001316,VIS-01317,voice_note,English,foreign,South Africa,directions,Grand Batanga & Luma Museum,South,neutral,3.4,True,False
QRY-002545,2026-06-01 09:17,SESS-001015,VIS-01016,text,English,domestic,North West,pricing,Musee Maritime de Douala,Littoral,negative,3.6,True,False
QRY-006122,2026-06-01 09:24,SESS-002441,VIS-02442,voice_note,English,foreign,Equatorial Guinea,directions,Bimbia Slave Trade Port,South West,positive,2.9,True,False
QRY-002050,2026-06-01 09:29,SESS-000816,VIS-00817,text,French,foreign,Gabon,booking_interest,Musee Maritime de Douala,Littoral,positive,2.4,True,False
QRY-002804,2026-06-01 09:44,SESS-001106,VIS-01107,text,English,domestic,East,directions,Hotel Ilomba,South,positive,3.7,True,False
QRY-003731,2026-06-01 09:57,SESS-001484,VIS-01485,text,French,domestic,East,cultural_info,Star Land Hotel Bastos,Centre,neutral,3.5,True,False
QRY-005797,2026-06-01 10:00,SESS-002319,VIS-02320,text,Pidgin,domestic,South,directions,Marche Sandaga & Deido Soya,Littoral,neutral,4.2,True,False
QRY-005917,2026-06-01 10:08,SESS-002373,VIS-02374,voice_note,French,domestic,East,directions,Krystal Palace Douala,Littoral,negative,3.3,True,False
QRY-002237,2026-06-01 10:18,SESS-000894,VIS-00895,text,English,domestic,Adamawa,transport_fare,Palais Royal de Foumban & Museum,West,negative,4.0,True,False
QRY-001097,2026-06-01 10:25,SESS-000431,VIS-00432,text,French,domestic,South West,cultural_info,Domaine du Petpenoun,West,positive,2.7,True,False
QRY-003425,2026-06-01 10:28,SESS-001367,VIS-01368,text,French,domestic,East,booking_interest,Artisanal Village & Flower Market,Littoral,positive,1.6,True,False
QRY-003101,2026-06-01 10:41,SESS-001234,VIS-01235,text,English,foreign,USA,transport_fare,Limbe Wildlife Centre,South West,positive,2.0,True,False
QRY-004355,2026-06-01 10:43,SESS-001714,VIS-01715,text,Pidgin,domestic,North,opening_hours,Bimbia Slave Trade Port,South West,neutral,3.1,True,False
QRY-005384,2026-06-01 11:13,SESS-002136,VIS-02137,text,French,domestic,West,booking_interest,Marche Sandaga & Deido Soya,Littoral,positive,2.9,True,False
QRY-001794,2026-06-01 13:21,SESS-000715,VIS-00716,text,English,foreign,UK,opening_hours,Mont Febe & Golf Club,Centre,neutral,2.4,True,False
QRY-004875,2026-06-01 13:25,SESS-001927,VIS-01928,text,French,domestic,Far North,directions,West Region Gastronomy Spots,West,positive,4.0,True,False
QRY-004055,2026-06-01 13:27,SESS-001603,VIS-01604,text,English,foreign,France,opening_hours,Bimbia Slave Trade Port,South West,positive,3.9,True,False
QRY-003398,2026-06-01 13:37,SESS-001359,VIS-01360,text,English,domestic,Littoral,opening_hours,Mvog-Betsi Zoo & Botanical Garden,Centre,neutral,3.9,True,False
QRY-004496,2026-06-01 13:40,SESS-001769,VIS-01770,voice_note,English,foreign,USA,pricing,Chez Wou & La Salsa,Centre,positive,2.7,True,False
QRY-005765,2026-06-01 13:46,SESS-002304,VIS-02305,text,Pidgin,foreign,Chad,cultural_info,Palais des Rois Bell (Pagode),Littoral,neutral,2.9,True,False
QRY-004235,2026-06-01 14:19,SESS-001675,VIS-01676,text,French,foreign,UK,booking_interest,Les Gites de Kribi,South,neutral,2.9,True,False
QRY-002943,2026-06-01 14:31,SESS-001160,VIS-01161,text,French,domestic,East,directions,Domaine du Petpenoun,West,positive,1.7,True,False
QRY-005733,2026-06-01 15:03,SESS-002288,VIS-02289,text,French,domestic,West,directions,Musee Maritime de Douala,Littoral,neutral,4.0,True,False
QRY-000038,2026-06-01 15:27,SESS-000015,VIS-00016,voice_note,English,domestic,South West,booking_interest,Monument de la Reunification,Centre,positive,3.8,True,False
QRY-001593,2026-06-01 15:28,SESS-000631,VIS-00632,text,English,domestic,West,directions,Grand Batanga & Luma Museum,South,positive,2.2,True,False
QRY-005362,2026-06-01 15:29,SESS-002134,VIS-02135,text,French,domestic,Far North,directions,Hotel Zingana,West,positive,4.8,True,False
QRY-004961,2026-06-01 15:47,SESS-001959,VIS-01960,text,English,domestic,East,pricing,Limbe Wildlife Centre,South West,neutral,1.8,True,False
QRY-005350,2026-06-01 15:54,SESS-002128,VIS-02129,text,Pidgin,foreign,Nigeria,emergency_sos,Mvog-Betsi Zoo & Botanical Garden,Centre,negative,1.4,False,True
QRY-004247,2026-06-01 16:06,SESS-001677,VIS-01678,text,French,foreign,Gabon,transport_fare,Musee Maritime de Douala,Littoral,neutral,1.2,True,False
QRY-001880,2026-06-01 16:09,SESS-000749,VIS-00750,text,French,foreign,France,directions,Pullman Douala Rabingha,Littoral,neutral,1.5,True,False
QRY-000866,2026-06-01 16:19,SESS-000340,VIS-00341,text,English,foreign,Germany,pricing,Star Land Hotel Bastos,Centre,negative,3.5,True,False
QRY-003243,2026-06-01 17:14,SESS-001298,VIS-01299,text,French,domestic,Centre,cultural_info,Down Beach & Batoke Beach,South West,neutral,4.9,True,False
QRY-001586,2026-06-01 17:25,SESS-000628,VIS-00629,text,English,domestic,West,pricing,Hotel Zingana,West,neutral,2.5,True,False
QRY-003466,2026-06-01 17:29,SESS-001382,VIS-01383,voice_note,Pidgin,domestic,East,opening_hours,Grand Batanga & Luma Museum,South,neutral,3.0,True,False
QRY-003411,2026-06-01 18:00,SESS-001362,VIS-01363,text,English,foreign,Canada,cultural_info,Domaine du Petpenoun,West,neutral,2.6,True,False
QRY-003113,2026-06-01 18:47,SESS-001241,VIS-01242,text,French,domestic,Littoral,pricing,Marche Sandaga & Deido Soya,Littoral,neutral,2.3,True,False
QRY-000615,2026-06-01 19:01,SESS-000255,VIS-00256,text,English,domestic,Adamawa,cultural_info,Campo Ma'an National Park,South,neutral,2.5,True,False
QRY-005467,2026-06-01 20:08,SESS-002174,VIS-02175,text,English,foreign,UK,transport_fare,Chez Wou & La Salsa,Centre,neutral,1.1,True,False
QRY-000115,2026-06-01 20:21,SESS-000052,VIS-00053,text,Pidgin,domestic,North,directions,Grand Batanga & Luma Museum,South,positive,4.7,True,False
QRY-003277,2026-06-01 21:23,SESS-001310,VIS-01311,text,French,domestic,North,pricing,Bimbia Slave Trade Port,South West,neutral,2.5,True,False
QRY-000924,2026-06-01 22:01,SESS-000367,VIS-00368,text,French,foreign,Canada,transport_fare,Rue des Artisans,West,neutral,3.7,True,False
QRY-001208,2026-06-01 22:18,SESS-000478,VIS-00479,text,French,domestic,Far North,directions,Star Land Hotel Bastos,Centre,neutral,2.7,True,False
QRY-004360,2026-06-01 22:22,SESS-001715,VIS-01716,text,English,foreign,Belgium,cultural_info,Bimbia Slave Trade Port,South West,neutral,2.5,True,False
QRY-004765,2026-06-01 22:30,SESS-001883,VIS-01884,text,English,domestic,Far North,pricing,Chutes de la Lobe,South,neutral,3.4,True,False
QRY-005604,2026-06-01 22:59,SESS-002233,VIS-02234,text,French,foreign,Nigeria,pricing,L'Ovalie & La Fourchette,Littoral,neutral,2.8,True,False
QRY-001668,2026-06-02 07:09,SESS-000667,VIS-00668,voice_note,French,domestic,North,opening_hours,West Region Gastronomy Spots,West,neutral,4.1,True,False
QRY-003761,2026-06-02 07:41,SESS-001500,VIS-01501,text,French,domestic,Adamawa,pricing,Artisanal Village & Flower Market,Littoral,negative,3.8,True,False
QRY-005946,2026-06-02 07:43,SESS-002384,VIS-02385,text,English,foreign,Germany,opening_hours,Mvog-Betsi Zoo & Botanical Garden,Centre,positive,2.9,True,False
QRY-000562,2026-06-02 08:01,SESS-000237,VIS-00238,text,French,domestic,South,general_chat,,South West,neutral,5.8,True,False
QRY-005627,2026-06-02 08:07,SESS-002240,VIS-02241,text,Pidgin,domestic,West,opening_hours,Monument de la Reunification,Centre,positive,2.3,True,False
QRY-004230,2026-06-02 08:18,SESS-001671,VIS-01672,voice_note,English,domestic,Adamawa,pricing,Plage de Kribi (Tara Plage),South,negative,2.8,True,False
QRY-004856,2026-06-02 08:26,SESS-001917,VIS-01918,text,Pidgin,foreign,Nigeria,cultural_info,Hotel Ilomba,South,positive,3.0,True,False
QRY-002973,2026-06-02 09:02,SESS-001170,VIS-01171,voice_note,French,domestic,Adamawa,cultural_info,Mount Cameroon (Upper Farms),South West,positive,4.5,True,False
QRY-000033,2026-06-02 09:24,SESS-000012,VIS-00013,text,English,domestic,Littoral,cultural_info,Rue des Artisans,West,neutral,3.7,True,False
QRY-005644,2026-06-02 09:58,SESS-002251,VIS-02252,voice_note,French,foreign,China,booking_interest,Musee National de Yaounde,Centre,positive,3.7,True,False
QRY-003056,2026-06-02 10:00,SESS-001209,VIS-01210,text,English,domestic,South West,directions,Plage de Kribi (Tara Plage),South,neutral,4.2,True,False
QRY-002996,2026-06-02 10:34,SESS-001183,VIS-01184,text,English,domestic,Adamawa,directions,Hotel Zingana,West,neutral,3.2,True,False
QRY-004154,2026-06-02 11:20,SESS-001642,VIS-01643,voice_note,English,foreign,Chad,cultural_info,Musee National de Yaounde,Centre,neutral,3.0,True,False
QRY-004548,2026-06-02 11:21,SESS-001794,VIS-01795,text,French,foreign,China,pricing,Chez Wou & La Salsa,Centre,negative,1.1,True,False
QRY-005919,2026-06-02 11:25,SESS-002374,VIS-02375,text,English,foreign,USA,transport_fare,Bimbia Slave Trade Port,South West,positive,4.1,True,False
QRY-004053,2026-06-02 11:31,SESS-001603,VIS-01604,text,English,domestic,South West,general_chat,,East,positive,1.9,True,False
QRY-003141,2026-06-02 12:29,SESS-001253,VIS-01254,text,Pidgin,foreign,Gabon,emergency_sos,L'Ovalie & La Fourchette,Littoral,negative,0.9,True,True
QRY-005405,2026-06-02 12:55,SESS-002145,VIS-02146,text,French,foreign,South Africa,opening_hours,Hilton Yaounde,Centre,positive,3.7,True,False
QRY-002944,2026-06-02 13:27,SESS-001160,VIS-01161,text,English,domestic,West,opening_hours,Down Beach & Batoke Beach,South West,neutral,3.7,True,False
QRY-003922,2026-06-02 14:04,SESS-001558,VIS-01559,voice_note,French,domestic,East,transport_fare,L'Ovalie & La Fourchette,Littoral,positive,3.8,True,False
QRY-004220,2026-06-02 14:27,SESS-001668,VIS-01669,voice_note,French,domestic,Far North,transport_fare,Musee Maritime de Douala,Littoral,negative,4.7,True,False
QRY-000748,2026-06-02 14:57,SESS-000295,VIS-00296,voice_note,Pidgin,domestic,Centre,booking_interest,Limbe Wildlife Centre,South West,neutral,3.7,True,False
QRY-001760,2026-06-02 15:11,SESS-000702,VIS-00703,text,English,foreign,China,cultural_info,Artisanal Village & Flower Market,Littoral,positive,4.0,True,False
QRY-000878,2026-06-02 15:15,SESS-000345,VIS-00346,voice_note,French,domestic,Centre,pricing,Monument de la Reunification,Centre,positive,2.7,True,False
QRY-005492,2026-06-02 15:25,SESS-002184,VIS-02185,voice_note,English,foreign,China,directions,Palais Royal de Foumban & Museum,West,positive,3.2,True,False
QRY-005522,2026-06-02 15:43,SESS-002198,VIS-02199,text,English,foreign,Equatorial Guinea,directions,Musee Maritime de Douala,Littoral,positive,2.1,True,False
QRY-000425,2026-06-02 15:50,SESS-000181,VIS-00182,text,French,foreign,France,directions,Marche Sandaga & Deido Soya,Littoral,negative,3.0,True,False
QRY-000907,2026-06-02 15:52,SESS-000359,VIS-00360,text,French,foreign,UK,cultural_info,Rue des Artisans,West,neutral,0.8,True,False
QRY-001471,2026-06-02 16:08,SESS-000591,VIS-00592,text,English,domestic,Adamawa,pricing,Chez Carimo / Lobe Shacks,South,negative,3.9,True,False
QRY-004588,2026-06-02 16:44,SESS-001813,VIS-01814,voice_note,English,foreign,UK,booking_interest,Plage de Kribi (Tara Plage),South,positive,3.8,True,False
QRY-003256,2026-06-02 17:16,SESS-001303,VIS-01304,voice_note,French,domestic,North West,booking_interest,Chez Wou & La Salsa,Centre,positive,3.7,True,False
QRY-005092,2026-06-02 17:43,SESS-002012,VIS-02013,text,English,foreign,Germany,booking_interest,L'Ovalie & La Fourchette,Littoral,positive,3.2,True,False
QRY-006151,2026-06-02 17:46,SESS-002454,VIS-02455,text,English,domestic,North West,directions,West Region Gastronomy Spots,West,positive,2.6,True,False
QRY-005585,2026-06-02 18:09,SESS-002226,VIS-02227,text,French,domestic,West,transport_fare,FINI Hotel Bobende,South West,positive,2.5,True,False
QRY-000121,2026-06-02 18:41,SESS-000055,VIS-00056,text,French,foreign,USA,cultural_info,Mont Febe & Golf Club,Centre,positive,5.0,True,False
QRY-003535,2026-06-02 19:33,SESS-001405,VIS-01406,text,French,domestic,Littoral,pricing,Palais Royal de Foumban & Museum,West,positive,3.6,True,False
QRY-002509,2026-06-02 19:42,SESS-001001,VIS-01002,voice_note,Pidgin,foreign,UK,pricing,Krystal Palace Douala,Littoral,positive,4.0,True,False
QRY-001236,2026-06-02 19:50,SESS-000492,VIS-00493,text,French,domestic,Littoral,opening_hours,Palais des Rois Bell (Pagode),Littoral,positive,4.4,True,False
QRY-001136,2026-06-02 19:59,SESS-000450,VIS-00451,text,French,domestic,Adamawa,directions,Grand Batanga & Luma Museum,South,positive,3.5,True,False
QRY-005042,2026-06-02 20:08,SESS-001992,VIS-01993,text,French,domestic,Far North,opening_hours,FINI Hotel Bobende,South West,positive,3.1,False,False
QRY-003917,2026-06-02 20:17,SESS-001556,VIS-01557,text,French,domestic,North,transport_fare,Palais Royal de Foumban & Museum,West,positive,3.8,True,False
QRY-004101,2026-06-02 20:26,SESS-001623,VIS-01624,text,French,domestic,South,cultural_info,West Region Gastronomy Spots,West,neutral,1.0,True,False
QRY-005953,2026-06-02 20:32,SESS-002386,VIS-02387,voice_note,French,domestic,North,transport_fare,Krystal Palace Douala,Littoral,neutral,4.1,True,False
QRY-005837,2026-06-02 20:38,SESS-002338,VIS-02339,voice_note,French,domestic,North,transport_fare,Rue des Artisans,West,neutral,3.3,True,False
QRY-002282,2026-06-02 20:45,SESS-000909,VIS-00910,text,French,foreign,China,pricing,Limbe Wildlife Centre,South West,neutral,2.9,True,False
QRY-002342,2026-06-02 20:45,SESS-000934,VIS-00935,text,English,domestic,Adamawa,pricing,Krystal Palace Douala,Littoral,neutral,4.1,True,False
QRY-001013,2026-06-02 20:47,SESS-000401,VIS-00402,text,French,foreign,China,booking_interest,Marche Sandaga & Deido Soya,Littoral,positive,3.5,True,False
QRY-005675,2026-06-02 21:25,SESS-002263,VIS-02264,text,French,domestic,South,pricing,Hotel Ilomba,South,positive,3.8,True,False
QRY-002033,2026-06-02 21:45,SESS-000807,VIS-00808,text,English,domestic,West,pricing,Limbe Botanic Garden,South West,negative,3.3,True,False
QRY-003893,2026-06-02 21:49,SESS-001549,VIS-01550,text,French,domestic,Adamawa,cultural_info,Krystal Palace Douala,Littoral,neutral,3.1,False,False
QRY-003231,2026-06-02 21:54,SESS-001293,VIS-01294,voice_note,English,foreign,Equatorial Guinea,cultural_info,Star Land Hotel Bastos,Centre,neutral,3.0,True,False
QRY-003941,2026-06-02 21:54,SESS-001564,VIS-01565,text,French,domestic,North,opening_hours,L'Ovalie & La Fourchette,Littoral,neutral,4.5,True,False
QRY-001763,2026-06-02 21:55,SESS-000704,VIS-00705,text,English,foreign,Chad,cultural_info,Down Beach & Batoke Beach,South West,positive,2.9,True,False
QRY-001040,2026-06-02 22:07,SESS-000411,VIS-00412,text,English,foreign,France,emergency_sos,Artisanal Village & Flower Market,Littoral,negative,0.8,True,True
QRY-000954,2026-06-02 22:42,SESS-000378,VIS-00379,text,French,foreign,France,general_chat,,Centre,positive,4.3,True,False
QRY-005185,2026-06-03 06:00,SESS-002055,VIS-02056,voice_note,English,foreign,UK,pricing,Limbe Botanic Garden,South West,negative,2.6,True,False
QRY-005227,2026-06-03 06:22,SESS-002072,VIS-02073,voice_note,French,foreign,Equatorial Guinea,directions,Marche Sandaga & Deido Soya,Littoral,positive,4.0,True,False
QRY-002377,2026-06-03 06:30,SESS-000951,VIS-00952,text,French,domestic,North West,cultural_info,Chez Carimo / Lobe Shacks,South,neutral,1.9,True,False
QRY-004913,2026-06-03 06:32,SESS-001945,VIS-01946,text,French,domestic,North,directions,Chutes de la Lobe,South,negative,3.9,False,False
QRY-003916,2026-06-03 06:57,SESS-001555,VIS-01556,voice_note,French,domestic,East,directions,Limbe Botanic Garden,South West,positive,4.0,True,False
QRY-004097,2026-06-03 07:04,SESS-001621,VIS-01622,text,French,foreign,South Africa,pricing,Limbe Wildlife Centre,South West,neutral,3.9,True,False
QRY-001266,2026-06-03 07:05,SESS-000503,VIS-00504,voice_note,Pidgin,domestic,Littoral,transport_fare,Musee National de Yaounde,Centre,positive,4.2,True,False
QRY-005652,2026-06-03 07:59,SESS-002254,VIS-02255,text,Pidgin,foreign,South Africa,pricing,Chez Wou & La Salsa,Centre,positive,2.3,True,False
QRY-002272,2026-06-03 08:31,SESS-000907,VIS-00908,voice_note,English,domestic,Far North,pricing,Hilton Yaounde,Centre,positive,3.4,True,False
QRY-004587,2026-06-03 09:33,SESS-001813,VIS-01814,text,French,foreign,Gabon,cultural_info,Krystal Palace Douala,Littoral,neutral,4.2,True,False
QRY-001836,2026-06-03 09:35,SESS-000731,VIS-00732,voice_note,French,foreign,Nigeria,directions,Palais Royal de Foumban & Museum,West,neutral,3.2,True,False
QRY-001345,2026-06-03 10:08,SESS-000531,VIS-00532,text,Pidgin,foreign,Gabon,general_chat,,South,positive,3.2,True,False
QRY-002207,2026-06-03 10:30,SESS-000877,VIS-00878,text,English,domestic,Littoral,pricing,Limbe Botanic Garden,South West,positive,4.5,True,False
QRY-001388,2026-06-03 10:56,SESS-000552,VIS-00553,text,French,domestic,Centre,opening_hours,Star Land Hotel Bastos,Centre,positive,3.9,True,False
QRY-005857,2026-06-03 11:19,SESS-002349,VIS-02350,voice_note,French,foreign,Germany,opening_hours,Hotel Ilomba,South,positive,5.7,False,False
QRY-002673,2026-06-03 12:02,SESS-001054,VIS-01055,text,English,foreign,USA,transport_fare,Grand Batanga & Luma Museum,South,neutral,3.7,True,False
