id,name,status,category,location,year,source,source_id,verification_status
CM-WH-001,Dja Faunal Reserve,World Heritage,Natural,Cameroon,1987,UNESCO,SRC-021,verified
CM-WH-002,Sangha Trinational,World Heritage,Natural,Cameroon / Congo Basin,2012,UNESCO,SRC-021,verified
CM-WH-003,Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,World Heritage,Cultural,Far North Cameroon,2025,UNESCO,SRC-021,verified
CM-TL-001,Le Complexe des Parcs Nationaux de Boumba Bek et de Nki,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-002,Le Parc National de Bouba Ndjidda,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-003,La Parc National de Campo-Ma'an,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-004,Le Parc National de Waza,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-005,La Chefferie de Bafut,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-006,La Tour de Goto Goulfey,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-007,Les gravures rupestres de Bidzar,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-008,Les mégalithes de Djohong,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-009,Les Mégalithes de Saa,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-010,Les Tunnels ferroviaires de Njock,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-011,Le Lamidat de Rey-Bouba,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-012,Le Paysage culturel des chutes de la Lobé,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-013,Le Site archéologique de Shum Laka,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-014,La Grande Case dans la Chefferie traditionnelle des Grassfields,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-015,Paysage culturel du Lac Tchad,Tentative List,Cultural/Natural/Mixed,Cameroon,2018,UNESCO,SRC-022,verified
CM-TL-016,Cross River-Korup-Takamanda (CRIKOT),Tentative List,Cultural/Natural/Mixed,Cameroon,2020,UNESCO,SRC-022,verified
CM-TL-017,Bimbia et ses sites associés,Tentative List,Cultural/Natural/Mixed,Cameroon,2020,UNESCO,SRC-022,verified
